Municipios;Sexo;Periodo;Total
36006 Cambados;Mujeres;2014;6893
36006 Cambados;Mujeres;2013;6988
36006 Cambados;Mujeres;2012;7164
36006 Cambados;Mujeres;2011;7169
36006 Cambados;Mujeres;2010;7132
36006 Cambados;Mujeres;2009;7015
36006 Cambados;Mujeres;2008;6953
36006 Cambados;Mujeres;2007;6974
36006 Cambados;Mujeres;2006;6959
36006 Cambados;Mujeres;2005;6996
36006 Cambados;Mujeres;2004;6982
36006 Cambados;Mujeres;2003;6967
36006 Cambados;Mujeres;2002;6909
36006 Cambados;Mujeres;2001;6843
36006 Cambados;Mujeres;2000;6813
36006 Cambados;Mujeres;1999;6725
36006 Cambados;Mujeres;1998;6649
36006 Cambados;Mujeres;1997;
36006 Cambados;Mujeres;1996;6638
36007 Campo Lameiro;Total;2020;1778
36007 Campo Lameiro;Total;2019;1817
36007 Campo Lameiro;Total;2018;1806
36007 Campo Lameiro;Total;2017;1867
36007 Campo Lameiro;Total;2016;1894
36007 Campo Lameiro;Total;2015;1931
36007 Campo Lameiro;Total;2014;1962
36007 Campo Lameiro;Total;2013;1982
36007 Campo Lameiro;Total;2012;2009
36007 Campo Lameiro;Total;2011;2036
36007 Campo Lameiro;Total;2010;2046
36007 Campo Lameiro;Total;2009;2084
36007 Campo Lameiro;Total;2008;2113
36007 Campo Lameiro;Total;2007;2119
36007 Campo Lameiro;Total;2006;2132
36007 Campo Lameiro;Total;2005;2166
36007 Campo Lameiro;Total;2004;2178
36007 Campo Lameiro;Total;2003;2213
36007 Campo Lameiro;Total;2002;2256
36007 Campo Lameiro;Total;2001;2290
36007 Campo Lameiro;Total;2000;2307
36007 Campo Lameiro;Total;1999;2374
36007 Campo Lameiro;Total;1998;2384
36007 Campo Lameiro;Total;1997;
36007 Campo Lameiro;Total;1996;2461
36007 Campo Lameiro;Hombres;2020;841
36007 Campo Lameiro;Hombres;2019;858
36007 Campo Lameiro;Hombres;2018;848
36007 Campo Lameiro;Hombres;2017;882
36007 Campo Lameiro;Hombres;2016;902
36007 Campo Lameiro;Hombres;2015;922
36007 Campo Lameiro;Hombres;2014;945
36007 Campo Lameiro;Hombres;2013;955
36007 Campo Lameiro;Hombres;2012;966
36007 Campo Lameiro;Hombres;2011;977
36007 Campo Lameiro;Hombres;2010;979
36007 Campo Lameiro;Hombres;2009;979
36007 Campo Lameiro;Hombres;2008;1008
36007 Campo Lameiro;Hombres;2007;1007
36007 Campo Lameiro;Hombres;2006;1018
36007 Campo Lameiro;Hombres;2005;1033
36007 Campo Lameiro;Hombres;2004;1042
36007 Campo Lameiro;Hombres;2003;1065
36007 Campo Lameiro;Hombres;2002;1083
36007 Campo Lameiro;Hombres;2001;1090
36007 Campo Lameiro;Hombres;2000;1099
36007 Campo Lameiro;Hombres;1999;1115
36007 Campo Lameiro;Hombres;1998;1131
36007 Campo Lameiro;Hombres;1997;
36007 Campo Lameiro;Hombres;1996;1175
36007 Campo Lameiro;Mujeres;2020;937
36007 Campo Lameiro;Mujeres;2019;959
36007 Campo Lameiro;Mujeres;2018;958
36007 Campo Lameiro;Mujeres;2017;985
36007 Campo Lameiro;Mujeres;2016;992
36007 Campo Lameiro;Mujeres;2015;1009
36007 Campo Lameiro;Mujeres;2014;1017
36007 Campo Lameiro;Mujeres;2013;1027
36007 Campo Lameiro;Mujeres;2012;1043
36007 Campo Lameiro;Mujeres;2011;1059
36007 Campo Lameiro;Mujeres;2010;1067
36007 Campo Lameiro;Mujeres;2009;1105
36007 Campo Lameiro;Mujeres;2008;1105
36007 Campo Lameiro;Mujeres;2007;1112
36007 Campo Lameiro;Mujeres;2006;1114
36007 Campo Lameiro;Mujeres;2005;1133
36007 Campo Lameiro;Mujeres;2004;1136
36007 Campo Lameiro;Mujeres;2003;1148
36007 Campo Lameiro;Mujeres;2002;1173
36007 Campo Lameiro;Mujeres;2001;1200
36007 Campo Lameiro;Mujeres;2000;1208
36007 Campo Lameiro;Mujeres;1999;1259
36007 Campo Lameiro;Mujeres;1998;1253
36007 Campo Lameiro;Mujeres;1997;
36007 Campo Lameiro;Mujeres;1996;1286
36008 Cangas;Total;2020;26582
36008 Cangas;Total;2019;26542
36008 Cangas;Total;2018;26487
36008 Cangas;Total;2017;26490
36008 Cangas;Total;2016;26584
36008 Cangas;Total;2015;26520
36008 Cangas;Total;2014;26567
36008 Cangas;Total;2013;26173
36008 Cangas;Total;2012;26087
36008 Cangas;Total;2011;26121
36008 Cangas;Total;2010;25913
36008 Cangas;Total;2009;25748
36008 Cangas;Total;2008;25537
36008 Cangas;Total;2007;25402
36008 Cangas;Total;2006;25202
